,phenomenon_time,id_sensor_low_cost_status,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_we,co_aux,co_concentration_we,no_concentration_we,no2_concentration_we,ox_concentration_we,co_concentration_aux,no_concentration_aux,no2_concentration_aux,ox_concentration_aux,pm10,pm25,co_conc,no_conc,no2_conc,ox_conc,id_aq_legal_station
0,2019-08-01 09:23:53,35,6.054,55.3746643066406,28.3275720214844,374.176025390625,15.380859375,226.593017578125,2.838134765625,226.86767578125,10.986328125,495.025634765625,132.843017578125,344.322013608871,111.60085323771,23.6891365840517,81.1020580690299,306.447097614247,40.4665498394269,5.52590921336207,52.1367770522388,,,,,,,9625
1,2019-08-01 09:25:54,35,6.054,54.9169006347656,28.3436596679687,374.81689453125,14.190673828125,227.60009765625,3.204345703125,227.05078125,9.70458984375,490.631103515625,130.18798828125,333.359311995968,113.184027992218,30.3289197198276,82.4685167910448,299.823798723118,37.5263681524827,7.94037580818965,42.5715659981343,,,,,,,9625
2,2019-08-01 09:43:59,35,6.048,54.9283447265625,28.5635241699219,375.732421875,15.7470703125,225.9521484375,1.8310546875,227.4169921875,10.25390625,485.595703125,127.62451171875,320.797883064516,115.445706212945,19.4638200431034,85.2014342350746,293.428889448925,41.3712211277174,-1.11387392241379,46.6709421641791,,,,,,,9625
3,2019-08-01 09:45:56,35,6.051,56.5572204589844,28.6064245605469,376.46484375,16.937255859375,226.593017578125,2.5634765625,225.677490234375,7.87353515625,487.884521484375,125.244140625,326.507623487903,117.255048789526,23.6891365840517,72.2200763759328,287.490759408602,44.3114028146616,3.71505926724138,28.9069787779851,,,,,,,9625
4,2019-08-01 09:47:57,35,6.051,55.95068359375,28.6761376953125,377.105712890625,17.578125,226.593017578125,2.105712890625,227.96630859375,10.345458984375,488.067626953125,127.532958984375,326.964402721774,118.838223544034,23.6891365840517,89.3008104011194,293.200499831989,45.89457756917,0.696976023706896,47.3541715251866,,,,,,,9625
5,2019-08-01 09:53:56,35,6.051,55.0580444335938,28.7887512207031,375.732421875,16.021728515625,223.846435546875,0.18310546875,229.522705078125,11.90185546875,485.9619140625,124.8779296875,321.711441532258,115.445706212945,5.58063712284483,100.915709538246,286.57720094086,42.0497245939353,-11.9789735991379,58.9690706623134,,,,,,,9625
6,2019-08-01 09:56:00,35,6.051,55.3555908203125,28.8370141601563,373.71826171875,13.641357421875,227.60009765625,3.662109375,228.424072265625,10.986328125,482.11669921875,122.039794921875,312.119077620968,110.470014127347,30.3289197198276,92.7169572061567,279.49712281586,36.1693612200469,10.9584590517241,52.1367770522388,,,,,,,9625
7,2019-08-01 09:58:01,35,6.045,55.9659423828125,28.9013647460938,378.570556640625,19.04296875,226.593017578125,2.197265625,229.522705078125,11.53564453125,488.250732421875,128.35693359375,327.421181955645,122.456908697196,23.6891365840517,100.915709538246,295.256006384409,49.513262722332,1.30059267241379,56.2361532182836,,,,,,,9625
8,2019-08-01 11:17:57,35,6.048,47.6880493164062,32.34412109375,396.97265625,20.965576171875,222.198486328125,-2.288818359375,228.057861328125,10.6201171875,483.489990234375,122.222900390625,315.544921875,167.916640933794,-5.28446255387931,89.9840397621269,279.953902049731,54.2627869858572,-28.2766231142241,49.403859608209,,,,,,,9625
9,2019-08-01 11:20:00,35,6.054,46.3452758789062,32.4996350097656,394.317626953125,17.02880859375,224.4873046875,-0.091552734375,229.79736328125,12.725830078125,482.574462890625,119.476318359375,313.261025705645,161.357774093688,9.8059536637931,102.965397621269,273.102213541667,44.5375706367342,-13.7898235452586,65.1181349113806,,,,,,,9625
10,2019-08-01 11:21:54,35,6.054,45.6204833984375,32.6551489257813,399.810791015625,21.148681640625,221.37451171875,-3.662109375,229.6142578125,12.542724609375,488.800048828125,121.58203125,328.791519657258,174.927843418046,-10.7170123922414,101.598938899254,278.355174731183,54.7151226300025,-37.3308728448276,63.7516761893657,,,,,,,9625
11,2019-08-01 11:23:58,35,6.048,45.9180297851562,32.7838500976562,394.317626953125,14.556884765625,224.30419921875,0.18310546875,232.177734375,15.19775390625,489.166259765625,121.2158203125,329.705078125,161.357774093688,8.59872036637931,120.729361007463,277.441616263441,38.4310394407732,-11.9789735991379,83.5653276585821,,,,,,,9625
12,2019-08-01 11:25:57,35,6.045,47.0929565429688,32.8482006835938,403.564453125,24.261474609375,221.466064453125,-2.5634765625,226.13525390625,8.97216796875,487.79296875,117.73681640625,326.279233870968,184.200724123024,-10.1133957435345,75.6362231809701,268.762810819892,62.4048285804718,-30.0874730603448,37.1057311100746,,,,,,,9625
13,2019-08-01 11:27:54,35,6.051,45.3458251953125,32.9608142089844,400.08544921875,19.317626953125,222.65625,-2.197265625,227.05078125,10.43701171875,481.38427734375,117.73681640625,310.291960685484,175.606346884264,-2.26637931034483,82.4685167910448,268.762810819892,50.1917661885499,-27.6730064655172,48.037400886194,,,,,,,9625
14,2019-08-01 11:30:00,35,6.048,47.3828735351562,33.0519775390625,396.881103515625,17.852783203125,225.860595703125,1.739501953125,228.1494140625,11.3525390625,477.996826171875,116.363525390625,301.841544858871,167.690473111722,18.8602033943966,90.6672691231343,265.33696656586,46.5730810353878,-1.71749057112069,54.8696944962687,,,,,,,9625
15,2019-08-01 11:32:00,35,6.051,47.9207458496094,33.1699536132812,398.62060546875,18.035888671875,225.40283203125,1.0986328125,228.69873046875,12.26806640625,477.996826171875,113.8916015625,301.841544858871,171.987661731102,15.8421201508621,94.7666452891791,259.170446908602,47.0254166795331,-5.94280711206897,61.7019881063433,,,,,,,9625
